,phrase,prompt
143,¿Cómo saber si tiene un menisco desgarrado en la rodilla?,Dolor de rodilla
219,¿Existe una cura para el acné?,acné
332,¿Las espinillas son una enfermedad de la piel?,acné
434,¿Por qué me duele el hombro cuando trato de recoger la ropa?,Dolor de hombro
251,¿Qué ayuda a que los cortes se curen más rápido?,Herida abierta
136,A menudo me duele el estómago después de comer. No he podido determinar qué alimentos podrían ser el desencadenante.,Dolor de estómago
53,A menudo tengo un dolor agudo en el pecho y no puedo decir qué estoy haciendo que pueda desencadenarlo.,El corazón duele
331,A mi hija le perforaron las orejas y uno de los lóbulos de su oreja está rojo brillante y muy caliente.,Herida infectada
172,A mi hijo le hicieron un tratamiento de conducto y el dentista le cortó accidentalmente el interior de la mejilla y ahora no cicatriza.,Herida infectada
3,A mi hijo le perforaron el labio y está hinchado y la piel del interior del labio está gris y parece infectada.,Herida infectada
34,A veces me siento como una garra en el pecho que me deja sin aliento.,Difícil respirar
491,A veces toso porque soy fumador,Tos
604,Después de un duro día de trabajo me duele el pie,Dolor de pie
545,Después de comer tengo una sensación de ardor dentro de mí.,Dolor de estómago
547,"Después de jugar al tenis, tuve una sensación poderosa cerca de mi cuello.",Dolor de hombro
578,De repente me sentí mareado cuando me levanté.,Sintiéndose mareado
699,Cada vez que juego al tenis siento un dolor en el hombro,Dolor de hombro
373,Apenas tengo fuerzas para levantarme,El cuerpo se siente débil
566,"Al principio se siente muy entumecido, pero luego mil agujas comienzan a pincharme el pie.",Dolor de pie
87,"Aunque soy un adulto, me siguen saliendo granos en la cara.",acné
197,"ayer estaba jugando baloncesto, me he torcido el tobillo",Lesión por deportes
351,"Cada mañana, cuando me despierto, mi cuello se siente como si hubiera dormido mal.",Dolor muscular
47,"Cada vez que hago un esfuerzo, me siento mareado.",Sintiéndose mareado
426,Cada vez que miro a la izquierda siento un dolor agudo en el cuello.,dolor de cuello
110,Cada vez que respiro hondo empiezo a toser,Tos
349,caigo al suelo al intentar lanzar una pelota de baloncesto,Lesión por deportes
314,"Caminé un largo 3 km, siento dolor en el pie como dolor de pie",Dolor de pie
286,Casi todos los días me duele la cabeza,Dolor de cabeza
660,calambres a lo largo de todo el abdomen,Dolor de estómago
388,Creo que me excedí cuando saqué toda esa madera del patio. Mi espalda baja me está matando.,Dolor de espalda
38,Creo que mi herida esta infectada,Herida infectada
362,Creo que tengo líquido en los oídos.,Dolor de oidos
322,"Cuando como azúcar, noto que mi visión se vuelve borrosa.",visión borrosa
267,"Cuando como demasiada azúcar, mi cuerpo se debilita y se marea.",El cuerpo se siente débil
485,Cuando como siento que me duele el estómago,Dolor de estómago
473,"Cuando conduzco, mis ojos ven al doble",visión borrosa
367,Cuando era joven tuve una lesión por hacer deporte en mi rodilla.,Lesión por deportes
481,Cuando estoy demasiado alto empiezo a sentirme mareado,Sintiéndose mareado
111,cuando extiendo la pierna hay dolor en la articulación de la rodilla,Dolor en las articulaciones
291,Cuando hago deporte tengo dolor debajo de la piel,Dolor muscular
128,Cuando hago deporte tengo una sensación de ardor en la columna,Dolor de espalda
518,"Cuando intenté contestar la llamada telefónica, descubrí que no podía escuchar la voz del altavoz.",Dolor de oidos
309,Cuando juego al fútbol tengo dolor en las articulaciones.,Dolor en las articulaciones
387,Cuando juego al fútbol tengo dolores musculares.,Dolor muscular
243,Cuando jugaba futbol me disloqué el hombro,Lesión por deportes
0,Cuando la recuerdo me siento mal,Dolor emocional
427,cuando levanto la mano siento dolor en el hombro.,Dolor de hombro
312,Cuando llevo cosas pesadas siento ganas de romperme la espalda,Dolor de espalda
1,Cuando llevo cosas pesadas siento ganas de romperme la espalda,Caída de cabello
381,"Cuando me agacho, siento un dolor punzante en la espalda",Dolor de espalda
155,"Cuando me cepillo el pelo, noto que salen grandes mechones de pelo en el cepillo.",Caída de cabello
254,Cuando me despierto por la mañana me siento extraño y tengo vértigo,Sintiéndose mareado
42,cuando me despierto por la mañana me siento mareado,Sintiéndose mareado
235,Cuando me despierto por la mañana siento un dolor en mi cuerpo,Dolor muscular
227,Cuando me despierto siento frio,Siento frio
113,cuando me estaba lavando el pelo se caía mucho,Caída de cabello
52,"Cuando me levanto demasiado rápido, empiezo a sentirme mareado y mareado",Sintiéndose mareado
259,"Cuando me levanto demasiado rápido, mi visión es borrosa.",visión borrosa
88,"Cuando me levanto por la mañana, mi cuerpo se siente muy débil.",El cuerpo se siente débil
413,"Cuando me levanto, siento que me voy a caer instantáneamente",Sintiéndose mareado
166,Cuando me paro me siento mareado no se porque,Sintiéndose mareado
299,Cuando me voy a dormir siento frio,Siento frio
190,"Cuando muevo mi hombro, es como si un relámpago atravesara mi hombro",Dolor de hombro
461,Cuando murió mi abuelo sentí un fuerte dolor emocional,Dolor emocional
363,"Cuando obligo a mis ojos a ver, tengo una visión borrosa.",visión borrosa
204,"Cuando traté de estar abrigado y usar más ropa, descubrí que todavía tenía frío",Siento frio
330,de pie menos de cinco minutos y me empieza a doler la espalda,Dolor de espalda
262,"Debe haber algo mal con mi circulación sanguínea, tengo que usar calcetines incluso en los días más calurosos, ¡mis dedos están congelados!",Siento frio
109,Dejé los deportes porque me lesioné por los deportes,Lesión por deportes
340,Desde que entré al bosque me duele la oreja,Dolor de oidos
445,Desearía que este doloroso sentimiento de pérdida desapareciera.,Dolor emocional
256,Después de caminar me duele un poco el pie,Dolor de pie
484,"después de jugar al fútbol, ​​tengo dolores musculares en ambas piernas.",Dolor muscular
354,"Después de una ruptura, siento algo extraño en mí.",Dolor emocional
406,Dolor agudo y respiración pesada,Dolor interno
320,Dolor de estómago después de beber leche.,Dolor de estómago
242,Dolor intestinal crónico,Dolor interno
310,Dolor severo en el oído,Dolor de oidos
12,Dr. Siento un dolor extraño y poderoso dentro de mi caja torácica.,El corazón duele
318,Duele cuando doblo mi brazo,Dolor en las articulaciones
265,Duele cuando levanto mi brazo,Dolor de hombro
280,El acné me estaba haciendo sentir avergonzado.,acné
188,"El color de la piel de mi espalda es rojo, no sé por qué.",Problema de la piel
173,el corazón duele tanto,El corazón duele
206,el cráneo caído está roto como nueces,Dolor de cabeza
85,El desagüe de la ducha siempre está lleno de pelo.,Caída de cabello
175,El dolor en mi oído es insoportable.,Dolor de oidos
163,"El dolor es intenso, especialmente cuando bajo las escaleras, siento como si algo se hubiera roto dentro de mi rodilla.",Dolor de rodilla
123,El dolor se siente como si estuviera justo debajo de la piel.,Dolor muscular
261,El dolor severo en el estómago que siento,Dolor de estómago
151,El peor dolor de cabeza fue durante una resaca en mis veintes: sinceramente pensé que iba a morir de una inflamación cerebral.,Dolor de cabeza
480,En la escuela secundaria tuve mucho acné.,acné
222,"Encontré algunos problemas en mi piel y traté de usar crema, pero no mejora.",Problema de la piel
50,enfermedad crónica de los folículos pilosos y las glándulas sebáceas.,acné
311,Enfermedad crónica de los folículos pilosos y las glándulas sebáceas.,acné
177,Enfermedad ósea crónica a nivel de los dobles de las Extremidades inferiores,Dolor de rodilla
516,enrojecimiento acompañado de picazón,Problema de la piel
706,"enrojecimiento, hinchazón y dificultad para caminar",Dolor de rodilla
207,Es como si tuviera una aguja atravesando mi corazón.,El corazón duele
231,Es difícil pararse y me muevo muy lentamente,El cuerpo se siente débil
326,Es dificil ver las cosas,visión borrosa
478,"Es posible que me haya exagerado con el levantamiento de pesas, porque temo haberme desgarrado un músculo de la espalda.",Lesión por deportes
283,estaba jugando al fútbol y las lesiones con dolor en las articulaciones.,Dolor en las articulaciones
137,Estaba jugando futbol y me torcí el tobillo,Lesión por deportes
374,Esterilizador para el ojo,visión borrosa
135,estoy decepcionado,Dolor emocional
419,estoy lesionado no puedo hacer deporte,Lesión por deportes
124,"Estoy luchando por soportar peso en mi rodilla, cuando me paro derecho siento y escucho un fuerte estallido.",Dolor de rodilla
217,Estoy muy preocupado de quedarme calvo pronto. Estoy muy enferma?,Caída de cabello
341,"Estoy preocupado por mi forma de conducir, porque apenas puedo concentrarme cuando estoy al volante, mis ojos se sienten llorosos.",visión borrosa
390,estoy teniendo problemas para ver las cosas se sienten como una nube en mis ojos todo está borroso,visión borrosa
588,"Incluso si la temperatura es alta en la casa, mi cuerpo siempre está frío.",Siento frio
612,"Cada vez que me peino, hay tantos cabellos en mi peine.",Caída de cabello
558,Cada vez que llueve tengo urticaria en el vientre y los costados.,Problema de la piel
228,hay acné en mi cara,acné
45,Hay dolor en los músculos que no sé causado,Dolor muscular
360,Hay hinchazón en mi cuello y me duele.,dolor de cuello
315,"Hay momentos en los que me siento aplastado bajo un gran peso y no me llega aire a los pulmones, en realidad me asusta muchísimo cuando sucede.",Difícil respirar
2,hay mucho dolor cuando muevo el brazo,El corazón duele
232,Hay mucho dolor cuando muevo el brazo.,Dolor de hombro
288,Hay muchos pelos en mi almohada por la mañana.,Caída de cabello
287,Hay un cosquilleo constante en mi garganta,Tos
407,Hay un dolor agudo en la pantorrilla.,Dolor muscular
245,Hay un dolor que se irradia desde mi pecho hasta mi brazo izquierdo.,El corazón duele
146,hay una mancha roja en mi piel,Problema de la piel
264,Hay una persona herida,Herida infectada
449,Hay unos granitos en mi cara que me molestan mucho,acné
496,He intentado hacer un masaje en mi pie pero todavía me duelen,Dolor de pie
306,"He intentado leer libros, pero nada puede animarme.",Dolor emocional
507,"He superado mi resfriado durante semanas, pero sigo tosiendo todos los días.",Tos
399,He tenido esta tos durante dos semanas.,Tos
108,He tratado de aliviarlo pero no puedo,El cuerpo se siente débil
670,Escuchar cualquier sonido fuerte me duele el oído,Dolor de oidos
646,respiración pesada con fatiga,Dolor emocional
89,"heridas quirúrgicas enrojecidas, con pus, dolorosas y calientes al tacto",Herida infectada
455,Siempre siento que tengo dolores menstruales incluso si no tengo mi período.,Dolor interno
460,"Siempre tengo frío, incluso cuando llevo capas",Siento frio
605,"Me siento tan mareado, el cuerpo es tan frágil.",El cuerpo se siente débil
519,Casi no puedo respirar,Difícil respirar
571,Apenas puedo mover el cuello. Duele.,dolor de cuello
508,"No puedo oír bien por el oído, siento que hay algo que me causa irritación.",Dolor de oidos
634,No puedo levantarme ni sentarme Tengo un dolor en la espalda que me molesta,Dolor de espalda
554,"No puedo ponerme de pie, siento que mi cerebro se mueve dentro de mi cráneo.",Dolor de cabeza
541,No puedo caminar bien me duele el pie,Dolor de pie
557,No puedo trabajar bien me duele la rodilla,Dolor de rodilla
584,No puedo soportar esta sensación de opresión que tengo en el pecho.,El corazón duele
614,No puedo respirar debido a este dolor sordo debajo de mi hombro izquierdo.,El corazón duele
546,No puedo calentarme por mucho que me envuelva o que tan alto ponga la calefacción,Siento frio
533,no puedo respirar,Tos
690,Ayer llevaba un bolso pesado y hoy al levantarme sentí un gran dolor en el hombro.,Dolor de hombro
528,Me quejo mucho con mi dolor de cuello y realmente necesito mejorar,dolor de cuello
536,Me quejo mucho de alergia cutánea,Problema de la piel
589,Me corto y estoy sangrando.,Herida abierta
645,No me siento mejor en mis musculos,Dolor muscular
610,No se porque tengo frio,Siento frio
626,No tengo rango de movimiento completo con mis brazos,Dolor de hombro
572,Siento un dolor de hueso con hueso en las rodillas cuando subo escaleras.,Dolor en las articulaciones
632,Siento una sensación de ardor en las tripas aproximadamente 2 horas después de cada comida.,Dolor de estómago
704,Siento una sensación de clic en mi rodilla cada vez que doy un paso.,Dolor en las articulaciones
672,Siento una gran presión en los lados de mi cuello.,Dolor de hombro
609,Siento un gran dolor en el hombro cuando intento levantar algo pesado,Dolor de hombro
526,Siento un dolor en la espalda cuando me siento en una silla por mucho tiempo.,Dolor de espalda
685,Siento un dolor extraño y poderoso dentro de mi caja torácica.,El corazón duele
585,Siento dolor de espalda cuando llevo cosas pesadas,Dolor de espalda
689,"Siento frío, como un cubo de hielo. Mi hermana dijo que necesita varias mantas para cubrirla para que esté lo suficientemente abrigada.",Siento frio
529,me siento frío,Siento frio
662,Siento frio cuando llega la noche,Siento frio
594,Siento congestión en mi pecho,Tos
535,Me siento mareado y fuera de vista,Sintiéndose mareado
624,Me siento emocionalmente aplastado,Dolor emocional
601,Siento un gran dolor en la cabeza,Dolor de cabeza
619,siento dolor de cabeza,Dolor de cabeza
688,"Siento que ya no puedo sobrellevarlo, me siento abrumado y como si no pudiera tener un descanso.",Dolor emocional
668,Siento que fui a una consulta de acupuntura y tenía 100 agujas en el hombro.,Dolor de hombro
537,Siento como si me cayera en agua caliente,Problema de la piel
702,Siento que mi corazón está en llamas.,El corazón duele
654,Siento dolor muscular cada vez que hago un esfuerzo extra.,Dolor muscular
565,Siento dolor en mi espalda,Dolor de espalda
592,"Siento dolor en los músculos de mis piernas después de que corrí ayer, tomé algunos analgésicos pero no ayuda.",Dolor muscular
553,Siento dolor en mi garganta,Tos
656,Siento dolor cuando pienso en ella,Dolor emocional
675,Me siento muy triste todo el tiempo.,Dolor emocional
520,Siento picazón severa en la piel con enrojecimiento.,Problema de la piel
663,Siento dolor en el hombro a intervalos de tiempo.,Dolor de hombro
676,Siento que algo me duele al respirar y no puedo respirar,Difícil respirar
631,Me cuesta mucho respirar,Difícil respirar
620,Me siento muy debil en mi cuerpo,El cuerpo se siente débil
700,me siento debil,El cuerpo se siente débil
552,"Me caí por una ventana mientras la estaba limpiando y tengo un fragmento de vidrio atorado en mi ojo izquierdo, creo que es bastante serio, ¡por favor ayuda!",Herida abierta
627,Me duele la rodilla cuando camino mucho,Dolor de rodilla
530,Tengo racimos de granos en la cara que nunca desaparecen.,acné
667,Tengo racimos de puntos blancos y puntos negros en la espalda.,acné
639,Tuve un resfriado la última vez que viajé en avión y todavía tengo molestias en los oídos.,Dolor de oidos
598,Tenía un dolor agudo en el estómago,Dolor de estómago
647,"Ayer hice mucho ejercicio, así que siento dolores musculares agudos.",Dolor muscular
630,Tuve un accidente y mi herida estaba abierta cuando llegué al hospital.,Herida abierta
597,Tengo una visión borrosa después de que me golpearon la cabeza ayer.,visión borrosa
691,"Tengo una visión borrosa y no puedo ver en la oscuridad, ¿cuál es la razón, doctor?",visión borrosa
488,Tengo un corte que se ha puesto rojo y supura pus.,Herida infectada
618,Tengo un corte enrojecido e hinchado.,Herida infectada
574,Tengo un dolor sordo en la parte baja de la espalda que me dificulta moverme,Dolor de espalda
615,Tengo un dolor sordo en el estómago. Empeora después de comer.,Dolor interno
695,Me duele el oído cuando voy a la piscina,Dolor de oidos
575,tengo un gran dolor en mi pie como un dolor tromboso con relajación mi dolor releif,Dolor de pie
613,Tengo un gran dolor de estómago y no puedo comer nada.,Dolor de estómago
465,Me duele mucho la rodilla cuando salgo a correr.,Dolor de rodilla
622,tengo migraña y tomé panadol pero no ayuda,Dolor de cabeza
467,Me duele el cuello cuando me siento frente a mi computadora portátil.,dolor de cuello
469,Me duele la cabeza,Dolor de cabeza
642,Me duele la articulación,Dolor en las articulaciones
525,Me duele mi estómago,Dolor interno
532,Tengo un calambre doloroso en los pies,Dolor de pie
684,Tengo un dolor agudo en el abdomen.,Dolor interno
683,Tengo una erupción cutánea después de comer un helado.,Problema de la piel
625,Tengo un latido en mis articulaciones,Dolor en las articulaciones
564,Tengo una herida entre los dedos de los pies que mejora durante la noche y luego se vuelve a abrir cada día cuando uso zapatos de vestir para ir al trabajo.,Herida abierta
671,Tengo acné en toda la cara,acné
644,Tengo acné en la cara y otros problemas en la dermis como picazón.,Problema de la piel
548,Me duele el oído cuando me ducho,Dolor de oidos
658,Tengo un dolor interno que no puedo describir,Dolor interno
621,Tengo dificultad para respirar en lugares concurridos.,Difícil respirar
693,tengo dificultad para mover el cuello,dolor de cuello
698,tengo distensión en mi emoción,Dolor emocional
602,Tengo malestar general en el torso.,Dolor interno
466,tengo dolor muscular en la pierna izquierda.,Dolor muscular
509,Tengo un dolor en el pecho que me entristece.,El corazón duele
555,Tengo granos en la espalda.,acné
616,Tengo dolores punzantes arriba y abajo de mi espalda.,Dolor de espalda
549,Tengo un dolor terrible en mi corazón,El corazón duele
542,Tengo la impresión de no tener fuerzas en mi cuerpo,El cuerpo se siente débil
560,"tengo tos ferina con exceso de mucosidad, necesito mucolítico.",Tos
629,"Me encanta la jardinería, pero siento una punzada terrible en la espalda baja cuando me inclino.",Dolor de espalda
637,Hice muchísimos análisis para saber la razón principal de mi dolor de estómago.,Dolor de estómago
569,Debo ver a un doctor tengo una herida abierta,Herida abierta
538,Noto que sale mucho más cabello de lo habitual cuando me cepillo el cabello,Caída de cabello
652,Noté una disminución importante en mi visión cuando trato de mirar las cosas de cerca.,visión borrosa
655,"Empecé a tomar clases de natación y creo que tragué demasiada agua por la nariz, porque esta sinusitis me está matando ahora.",Lesión por deportes
673,"Creo que me torcí el tobillo, me duele mucho.",Lesión por deportes
595,Creo que mi temperatura corporal es muy baja.,Siento frio
561,"Creo que hay algo mal en mi herida, no parece sanar como debería.",Herida infectada
603,Me volqué mientras saltaba para atrapar la pelota.,Lesión por deportes
581,"Camino todos los días, pero ahora me falta el aliento después de recorrer un camino corto.",Difícil respirar
562,Anoche me patearon la cabeza jugando al fútbol.,Lesión por deportes
608,Viajaba en barco y me siento mareado.,Sintiéndose mareado
653,estaba viendo la televisión y de repente tengo la visión borrosa,visión borrosa
511,Tengo náuseas,Dolor de estómago
657,"Siempre he sido muy activo, pero ahora no tengo la fuerza ni la energía para dar ni siquiera una caminata corta.",El cuerpo se siente débil
556,"Me cuesta respirar, ¿estoy teniendo un infarto?",Difícil respirar
539,He notado que mi cabello se cae mucho últimamente.,Caída de cabello
659,Por la mañana mi respiración es fuerte.,Difícil respirar
674,¿Mi corte está infectado o simplemente se está curando?,Herida infectada
531,Se siente como si no pudiera respirar hondo,Difícil respirar
543,Se siente como si mi corazón fuera a saltar fuera de mi cuerpo. Duele.,El corazón duele
665,Me pica dentro de los oídos.,Dolor de oidos
576,"Comenzó como un tinnitus, pero hoy el dolor es punzante e insoportable.",Dolor de oidos
379,La aplastante sensación en mi corazón me deja sin aliento.,El corazón duele
453,La articulación del tobillo palpita cuando presiono mi pie.,Dolor en las articulaciones
321,La herida sigue abierta,Herida abierta
184,"La molestia comienza repentinamente, a menudo después de una lesión o ejercicio.",Dolor de rodilla
474,La parte superior de la espalda me duele desde hace una semana.,Dolor de espalda
422,La rodilla se siente oxidada y de repente no puedo doblarla más.,Dolor de rodilla
483,"La última vez que me corté las uñas de los pies, me las corté demasiado y ahora tengo una uña infectada.",Herida infectada
23,"Laceración, ruptura o apertura en la piel",Herida abierta
141,"laceración, ruptura o apertura en la piel",Herida abierta
17,Leí un libro durante mucho tiempo y cuando terminé de leer siento dolor de cabeza,Dolor de cabeza
438,línea de combustión longitudinal en la espalda con movimientos respiratorios fuertes,Dolor de espalda
335,Los nervios estaban tan dañados durante la operación de mi tobillo que no soporto que me toquen la cicatriz.,Dolor de pie
495,Malestar o dolor que se siente en algún punto a lo largo de la parte frontal del cuerpo entre el cuello y la parte superior del abdomen.,Dolor interno
333,Me caí de la bici y desde entonces me duele la rodilla,Dolor de rodilla
69,"Me canso demasiado rápido, apenas puedo ponerme la ropa por la mañana.",El cuerpo se siente débil
266,"Me corté el dedo abriendo una lata, no deja de sangrar y la herida está muy abierta",Herida abierta
395,Me corté el dedo por jugar al fútbol y me aplico crema analgésica pero no ayuda,Lesión por deportes
60,Me corté el pie en la piscina y se abre todos los días cuando camino sobre él.,Herida abierta
371,"Me corté la mano hace un par de días y, aunque no pensé que necesitaba puntos, no se ha cerrado.",Herida abierta
62,"Me corté la mano hace un par de semanas y, aunque sigo usando una crema antibiótica, no mejora.",Herida infectada
230,Me corté la punta del dedo mientras cortaba un cartón y no puedo detener el sangrado.,Herida abierta
493,Me corté profundamente con un cuchillo mientras cocinaba.,Herida abierta
334,Me cuesta leer porque las letras están borrosas,visión borrosa
477,Me cuesta oír.,Dolor de oidos
215,"Me cuesta respirar cuando estoy en la estación de metro, ¿por qué?",Difícil respirar
517,Me da vueltas la cabeza cuando me levanto.,Sintiéndose mareado
418,"Me despierto con el cuello rígido todas las mañanas. El masaje ayuda, pero un par de días después vuelve.",dolor de cuello
298,Me despierto por la noche sintiendo frio,Siento frio
105,"Me diagnosticaron anemia por deficiencia de B12, lo que explica por qué siempre sentí frío.",Siento frio
294,"Me diagnosticaron neumonía, no puedo respirar con facilidad.",Difícil respirar
168,Me dio acné cuando comí chile,acné
179,Me divorcié el año pasado y no puedo dejar de pensar en cómo vengarme de mi ex marido.,Dolor emocional
238,Me dolía el pie desde el martes pasado.,Dolor de pie
417,Me dolía la rodilla cuando nadaba,Dolor de rodilla
435,Me duele el brazo cuando me estiro,Dolor muscular
323,Me duele el colon y el estómago como si me lo cortaran,Dolor de estómago
394,me duele el corazon,El corazón duele
285,"Me duele el corazón mientras estoy triste, ¿por qué?",El corazón duele
225,Me duele el cuello desde el accidente.,dolor de cuello
295,me duele el cuello y no puedo mirar hacia abajo ni hacia arriba,dolor de cuello
103,Me duele el cuerpo por dentro entre las caderas y los hombros.,Dolor interno
512,"Me duele el estómago cuando como comida caliente, ¿por qué?",Dolor de estómago
470,Me duele el estómago desde ayer.,Dolor de estómago
350,me duele el hombro,Dolor de hombro
505,Me duele el hombro cuando trato de alcanzar algo por encima de mi cabeza.,Dolor de hombro
375,Me duele el hombro cuando trato de levantar cinco libras.,Dolor de hombro
377,Me duele el hombro cuando trato de llevar mis compras.,Dolor de hombro
78,Me duele el músculo del hombro cuando trato de estirar la mano.,Dolor muscular
164,Me duele el oído cuando hace frío,Dolor de oidos
324,Me duele el oído y es peor cuando trago. Me duele mucho el oído y Tylenol no me ha ayudado.,Dolor de oidos
192,Me duele el pecho cuando fumo,Dolor interno
439,Me duele el pecho cuando voy a tomar un respiro,Difícil respirar
193,Me duele el pie aunque no camino mucho.,Dolor de pie
104,Me duele el pie después de correr 500 m con mis zapatillas.,Dolor de pie
121,"Me duele el pie en invierno, o cuando hace frío, ¿por qué?",Dolor de pie
271,Me duele el pie y no puedo girarlo. Quizás esté roto.,Dolor de pie
37,me duele el tobillo,Dolor en las articulaciones
405,Me duele la cabeza cada vez que como helado,Dolor de cabeza
25,Me duele la cabeza cada vez que intento hacer algo.,Dolor de cabeza
380,Me duele la cabeza cuando hago esto.,Dolor de cabeza
414,Me duele la cabeza desde que me desperté esta mañana.,Dolor de cabeza
250,Me duele la cabeza en la espalda y el dolor dura todo el día.,Dolor de cabeza
503,Me duele la cabeza todos los días.,Dolor interno
430,"Me duele la cabeza y pierdo la sensación en mi rostro, luego pierdo la vista en mi ojo",Dolor de cabeza
167,Me duele la espalda baja pero mejora si la estiro,Dolor muscular
24,Me duele la espalda y no puedo doblarla ni caminar,Dolor de espalda
70,Me duele la rodilla cuando camino,Dolor de rodilla
11,me duele la rodilla cuando camino mucho,Dolor de rodilla
55,Me duele la rodilla cuando juego al squash,Dolor de rodilla
139,Me duele mucho el estómago.,Dolor de estómago
171,me duele mucho el oido,Dolor de oidos
497,Me duele mucho el pie jugando futbol,Dolor de pie
84,Me duele mucho el pie.,Dolor de pie
112,me duele mucho la cabeza,Dolor de cabeza
300,me duele mucho la espalda,Dolor de espalda
239,Me duele mucho la espalda cuando me agacho,Dolor de espalda
122,Me duele mucho la espalda.,Dolor de espalda
174,Me duele mucho la garganta.,dolor de cuello
205,Me duele mucho la rodilla.,Dolor en las articulaciones
424,Me duele tanto el hombro,Dolor de hombro
515,Me duelen las articulaciones cuando hace frío,Dolor en las articulaciones
431,Me duelen las articulaciones cuando trato de doblar la pierna o el brazo.,Dolor en las articulaciones
383,Me duelen las articulaciones. No puedo soportar el dolor,Dolor en las articulaciones
91,Me duelen los arcos de los pies cuando uso tacones,Dolor de pie
4,Me duelen los músculos de la espalda baja,Herida infectada
77,Me duelen los músculos de la espalda baja.,Dolor muscular
178,Me duelen tanto las rodillas al caminar que me quedo sentada más de lo debido.,Dolor de rodilla
368,Me empezaron a doler los bíceps después de ir al gimnasio,Dolor muscular
67,"Me encanta caminar y estar al aire libre, pero las plantas de los pies me duelen muy rápido.",Dolor de pie
272,Me golpeé el pie y me duele mucho.,Dolor de pie
292,Me golpeé la cabeza en el juego de baloncesto. ¿Podría tener una conmoción cerebral?,Lesión por deportes
